"time","add.y","airHeaterTextWithIO.T_Out_ext"
203.0000000201044,20.2388289564779,20.15219072288923
203.0000000201044,20.03503397982456,20.15219072288923
203.5,20.57488139331265,20.48222338372984
204,20.767322476281,20.80517687247229
204.5,21.15753373389002,21.12118237429042
205,21.42707639610635,21.43039146919818
205.5,21.63331135714042,21.73295047576587
206,22.06250882113083,22.02900331253987
206.5,22.30099287440365,22.31868979508605
207,22.48846915016404,22.60214678314845
207.5,22.96357775735937,22.87949544893931
208,23.26508286193322,23.15086352540561
208.5,23.37236632347846,23.41643123634811
209,23.72403906962349,23.67630430598935
209.5,23.90658657824274,23.93058557113193
210,24.29412836340309,24.17939784184177
210.5,24.37025367770933,24.42285614360489
211,24.57789461165299,24.66106899441613
211.5,24.85956985606946,24.89412062360998
212,25.11753478909364,25.11924001081061
212.5,25.26692545351282,25.32936250908703
213,25.59084999348765,25.50855301787194
213.5,25.753649309653,25.66397448437147
214,25.81850044611386,25.80664781999612
214.5,25.87651789511617,25.92487828819457
215,25.94492693016169,26.01635168677657
215.5,25.97849783489633,26.08941354277315
216,26.07466442256086,26.13747532987615
216.5,26.16634633330003,26.15569155867922
217,26.21796414024297,26.15828900977634
217.5,26.03259159745815,26.15151078444505
218,26.04401814467749,26.1350510436307
218.5,26.1256031680512,26.10990520973949
219,26.03902376075209,26.0735516394105
219.5,26.11782077327619,26.02241609784054
220,26.02725316026615,25.95991025429367
220.5,25.8263799422754,25.90288603071804
221,25.94048703332113,25.85388694786931
221.5,25.75972910368748,25.79758349987877
222,25.80299359019111,25.74044209020636
222.5,25.6782587187613,25.68129912526785
223,25.54546096187229,25.61927379185368
223.5,25.69236446768647,25.57037817049723
224,25.63242783815341,25.52187072276293
224.5,25.58093179342691,25.4725948996008
225,25.5419496896679,25.42699790891287
225.5,25.36263736298385,25.38297413473591
226,25.4581947965865,25.35206286507004
226.5,25.24337001592914,25.31811366044955
227,25.33702092660027,25.27638446308515
227.5,25.30323408729821,25.2391490322123
228,25.08874826180513,25.20605759741718
228.5,25.06015567273432,25.18480470987534
229,25.15398599246642,25.16677706275055
229.5,25.19701871953302,25.15415928778766
230,25.18745348562489,25.14814946023349
230.5,25.2514288744661,25.1421306475915
231,25.20675299546381,25.15841549126752
231.5,25.10934345692735,25.19251021006313
232,25.25923832464008,25.22049126204661
232.5,25.250007678094,25.23813216309416
233,25.19933603365596,25.25151887004623
233.5,25.17177407712751,25.26006031022789
234,25.18598906298369,25.26639389101189
234.5,25.26979693854662,25.27981082446843
235,25.39327309904513,25.28887309294143
235.5,25.29950834100246,25.28892223302797
236,25.28878754643628,25.2922781009576
236.5,25.26250089761592,25.30034766417984
237,25.43167172252032,25.30909794402366
237.5,25.3851445824113,25.3113851598215
238,25.32916745284745,25.30078142422109
238.5,25.22433734894911,25.2886741817382
239,25.280637665004,25.28348733082632
239.5,25.16750169629344,25.28147688474523
240,25.36604557844227,25.27048068083187
240.5,25.22274509018195,25.25112348918094
241,25.23177551112398,25.23655547267066
241.5,25.27270359547222,25.23051557093534
242,25.33098557666818,25.22587601521916
242.5,25.12266171000014,25.22246868042771
243,25.32068338580611,25.21207182539472
243.5,25.29495387395118,25.1974129028522
244,25.20787430374843,25.18929234629124
244.5,25.26858856823949,25.1770826323894
245,25.28195919867323,25.15808838352385
245.5,25.04913068668465,25.14721336132682
