"time","T_Out_ext","T_amb_ext","u_ext"
287.5,33.8237,20,4
288,33.8275,20,4
288.5,33.8313,20,4
289,33.835,20,4
289.5,33.8386,20,4
290,33.8421,20,4
290.5,33.8455,20,4
291,33.8489,20,4
291.5,33.8521,20,4
292,33.8554,20,4
292.5,33.8585,20,4
293,33.8616,20,4
293.5,33.8646,20,4
294,33.8675,20,4
294.5,33.8704,20,4
295,33.8732,20,4
295.5,33.876,20,4
296,33.8787,20,4
296.5,33.8813,20,4
297,33.8839,20,4
297.5,33.8864,20,4
298,33.8889,20,4
298.5,33.8913,20,4
299,33.8937,20,4
299.5,33.896,20,4
300,33.8982,20,4
300.5,33.9005,20,4
301,33.9026,20,4
301.5,33.9047,20,4
302,33.9068,20,4
302.5,33.9088,20,4
303,33.9108,20,4
303.5,33.9128,20,4
304,33.9146,20,4
304.5,33.9165,20,4
305,33.9183,20,4
305.5,33.9201,20,4
306,33.9218,20,4
306.5,33.9235,20,4
307,33.9252,20,4
307.5,33.9268,20,4
308,33.9284,20,4
308.5,33.93,20,4
309,33.9315,20,4
309.5,33.933,20,4
310,33.9344,20,4
310.5,33.9359,20,4
311,33.9373,20,4
311.5,33.9386,20,4
312,33.94,20,4
312.5,33.9413,20,4
313,33.9425,20,4
313.5,33.9438,20,4
314,33.945,20,4
314.5,33.9462,20,4
315,33.9474,20,4
315.5,33.9485,20,4
316,33.9496,20,4
316.5,33.9507,20,4
317,33.9518,20,4
317.5,33.9528,20,4
318,33.9539,20,4
318.5,33.9549,20,4
319,33.9559,20,4
319.5,33.9568,20,4
320,33.9578,20,4
320.5,33.9587,20,4
321,33.9596,20,4
321.5,33.9605,20,4
322,33.9613,20,4
322.5,33.9622,20,4
323,33.963,20,4
323.5,33.9638,20,4
324,33.9646,20,4
324.5,33.9653,20,4
325,33.9661,20,4
325.5,33.9668,20,4
326,33.9675,20,4
326.5,33.9683,20,4
327,33.9689,20,4
327.5,33.9696,20,4
328,33.9703,20,4
328.5,33.9709,20,4
329,33.9716,20,4
329.5,33.9722,20,4
330,33.9728,20,4
330.5,33.9734,20,4
331,33.974,20,4
331.5,33.9745,20,4
332,33.9751,20,4
332.5,33.9756,20,4
333,33.9761,20,4
333.5,33.9767,20,4
334,33.9772,20,4
334.5,33.9777,20,4
335,33.9782,20,4
335.5,33.9786,20,4
336,33.9791,20,4
336.5,33.9795,20,4
337,33.98,20,4
337.5,33.9804,20,4
338,33.9809,20,4
338.5,33.9813,20,4
339,33.9817,20,4
339.5,33.9821,20,4
340,33.9825,20,4
340.5,33.9828,20,4
341,33.9832,20,4
341.5,33.9836,20,4
342,33.9839,20,4
342.5,33.9843,20,4
343,33.9846,20,4
343.5,33.985,20,4
344,33.9853,20,4
344.5,33.9856,20,4
345,33.9859,20,4
345.5,33.9862,20,4
346,33.9865,20,4
346.5,33.9868,20,4
347,33.9871,20,4
347.5,33.9874,20,4
348,33.9877,20,4
348.5,33.9879,20,4
349,33.9882,20,4
349.5,33.9884,20,4
350,33.9887,20,4
350.5,33.9889,20,4
351,33.9892,20,4
351.5,33.9894,20,4
352,33.9897,20,4
352.5,33.9899,20,4
353,33.9901,20,4
353.5,33.9903,20,4
